mol_id,smiles,assay_name,true_label,true_label_clean,pred_label,pred_proba,has_true_label,is_correct,error_type,confidence,error_magnitude
TOX9572,CC1COc2ccccc2N1C(=O)C(Cl)Cl,SR-ATAD5,1.0,1.0,0,3.5148465069677596e-05,True,0.0,false_negative,0.9999648515349303,0.9999648515349303
TOX3231,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,NR-ER-LBD,1.0,1.0,0,5.529217306547936e-05,True,0.0,false_negative,0.9999447078269346,0.9999447078269346
TOX22324,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,NR-AR,1.0,1.0,0,5.6485935969703027e-05,True,0.0,false_negative,0.9999435140640303,0.9999435140640303
TOX25807,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1,SR-ATAD5,1.0,1.0,0,6.983869570522108e-05,True,0.0,false_negative,0.9999301613042948,0.9999301613042948
TOX25701,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,NR-Aromatase,1.0,1.0,0,7.616015685593775e-05,True,0.0,false_negative,0.999923839843144,0.999923839843144
TOX27316,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,SR-p53,1.0,1.0,0,8.650791744262799e-05,True,0.0,false_negative,0.9999134920825574,0.9999134920825574
TOX22324,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,NR-AR-LBD,1.0,1.0,0,0.0001435682187805965,True,0.0,false_negative,0.9998564317812194,0.9998564317812194
TOX24303,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],NR-AhR,0.0,0.0,1,0.9998465128555218,True,0.0,false_positive,0.9998465128555218,0.9998465128555218
TOX26903,N=C(N)NN=C(C=Cc1ccc([N+](=O)[O-])o1)C=Cc1ccc([N+](=O)[O-])o1,NR-PPAR-gamma,1.0,1.0,0,0.00019349048426428519,True,0.0,false_negative,0.9998065095157357,0.9998065095157357
TOX27831,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,SR-ARE,1.0,1.0,0,0.0001957575281310329,True,0.0,false_negative,0.9998042424718689,0.9998042424718689
TOX3051,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,NR-AR,1.0,1.0,0,0.00020978752808234108,True,0.0,false_negative,0.9997902124719177,0.9997902124719177
TOX2883,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,NR-ER,1.0,1.0,0,0.00023405708181567386,True,0.0,false_negative,0.9997659429181843,0.9997659429181843
TOX458,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,SR-ARE,1.0,1.0,0,0.00025169543968355895,True,0.0,false_negative,0.9997483045603165,0.9997483045603165
TOX9329,COC(C)COC(C)COC(C)CO,NR-AhR,1.0,1.0,0,0.00029436230902207556,True,0.0,false_negative,0.999705637690978,0.999705637690978
TOX26274,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,SR-HSE,1.0,1.0,0,0.0003017902390164392,True,0.0,false_negative,0.9996982097609836,0.9996982097609836
TOX14625,CO/N=C(/C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,SR-ARE,1.0,1.0,0,0.0003321110800761744,True,0.0,false_negative,0.9996678889199239,0.9996678889199239
TOX3545,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,SR-ATAD5,0.0,0.0,1,0.9996593283403415,True,0.0,false_positive,0.9996593283403415,0.9996593283403415
TOX3748,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,SR-ARE,0.0,0.0,1,0.9996277093300557,True,0.0,false_positive,0.9996277093300557,0.9996277093300557
TOX25701,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,SR-p53,1.0,1.0,0,0.00037821635406328635,True,0.0,false_negative,0.9996217836459367,0.9996217836459367
TOX25228,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,SR-HSE,1.0,1.0,0,0.00040015277996644194,True,0.0,false_negative,0.9995998472200336,0.9995998472200336
